# id,lat,lon,dbh,h1,h2,h3,aspect,slope,date,observer,wpDamage,canopy,dfAssoc,comments
id,lat,lon,dbh,h1,h2,h3,aspect,slope,date,comments,wp,canopy,dfAssociated,observer
2021-064,47.557214,-122.25193,13,0,1.5,3,NA,NA,2021-07-29,s 13,NA,NA,NA,all
2021-065,47.557201,-122.25193,32,3,3,3,NA,NA,2021-07-29,s 21,NA,NA,NA,all
2021-066,47.55719,-122.251928,13,0,1.5,3,NA,NA,2021-07-29,s 34,NA,NA,NA,all
2021-100,47.553219,-122.250113,23,0,1.5,3,NA,NA,2021-08-03,,NA,NA,NA,all
2021-101,47.553777,-122.250264,17,1.5,3,3,NA,NA,2021-08-03,need dmr,NA,NA,NA,all
2021-103,47.55424,-122.250231,9,0,0,0,NA,NA,2021-08-03,,NA,NA,NA,all
2021-110,47.554356,-122.251337,9,1.5,1.5,3,NA,NA,2021-08-03,,NA,NA,NA,all
2021-111,47.554675,-122.251294,4,1.5,3,3,NA,NA,2021-08-03,,NA,NA,NA,all
2021-112,47.555044,-122.250628,7,1.5,3,3,NA,NA,2021-08-03,,NA,NA,NA,all
2021-113,47.554935,-122.25094,32,1.5,1.5,3,NA,NA,2021-08-03,,NA,NA,NA,all
2021-114,47.554501,-122.251079,21,0,0,0,NA,NA,2021-08-03,dead; next to stump,NA,NA,NA,all
2021-115,47.554537,-122.251111,21,0,0,0,NA,NA,2021-08-03,stump,NA,NA,NA,all
2021-116,47.554414,-122.251111,30,0,0,0,NA,NA,2021-08-04,1' from trail; dead,NA,NA,NA,all
2021-117,47.553733,-122.25095,5,1.5,1.5,3,NA,NA,2021-08-04,,NA,NA,NA,all
2021-118,47.553762,-122.251068,1,3,1.5,3,NA,NA,2021-08-04,,NA,NA,NA,all
2021-119,47.553893,-122.251036,1,3,1.5,3,NA,NA,2021-08-04,,NA,NA,NA,all
2021-120,47.554157,-122.251051,23,0,1.5,1.5,NA,NA,2021-08-04,10'9" from trail,NA,NA,NA,all
2021-121,47.554205,-122.250966,6,1.5,1.5,1.5,NA,NA,2021-08-04,,NA,NA,NA,all
