lon	lat	time	waypoint
-122.252608	47.561659	2020-10-17T21:33:52Z	036
-122.252149	47.561644	2020-10-17T21:42:58Z	037
-122.25182	47.56173	2020-10-17T21:52:51Z	038
-122.250492	47.560809	2020-10-17T22:24:00Z	039
-122.250059	47.559878	2020-10-17T22:34:32Z	040
-122.249673	47.56016	2020-10-17T22:41:47Z	041
-122.249412	47.559957	2020-10-17T22:53:47Z	042
