species	date	lat	long	distance	direction	dbh	status	height	low	mid	high
hemlock	2023-07-13	47.560387	-122.250536	22	60	2	snag	30	0	0	0
dougfir	2023-07-13	47.559568	-122.249972	65	46	2	stump	8	0	0	0

